         11772 function calls (11651 primitive calls) in 14.384 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   14.381   14.381 c:\Users\Rome\Documents\Git Repo\1\SuperCut\video_worker.py:112(_process_batch)
        1    6.241    6.241   14.287   14.287 c:\Users\Rome\Documents\Git Repo\1\SuperCut\ffmpeg_utils.py:68(create_video_with_ffmpeg)
       26    7.791    0.300    7.808    0.300 {built-in method time.sleep}
        5    0.000    0.000    0.302    0.060 C:\Python313\Lib\subprocess.py:512(run)
        5    0.000    0.000    0.287    0.057 C:\Python313\Lib\subprocess.py:1178(communicate)
        5    0.000    0.000    0.276    0.055 C:\Python313\Lib\subprocess.py:1619(_communicate)
       10    0.000    0.000    0.275    0.028 C:\Python313\Lib\threading.py:1058(join)
       10    0.000    0.000    0.275    0.028 {method 'join' of '_thread._ThreadHandle' objects}
     10/5    0.000    0.000    0.275    0.055 C:\Python313\Lib\threading.py:1000(_bootstrap)
     10/5    0.002    0.000    0.275    0.055 C:\Python313\Lib\threading.py:1027(_bootstrap_inner)
     10/5    0.000    0.000    0.274    0.055 C:\Python313\Lib\threading.py:983(run)
     10/5    0.000    0.000    0.273    0.055 C:\Python313\Lib\subprocess.py:1614(_readerthread)
      8/4    0.216    0.027    0.222    0.055 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.090    0.090 c:\Users\Rome\Documents\Git Repo\1\SuperCut\ffmpeg_utils.py:279(merge_random_mp3s)
        3    0.000    0.000    0.087    0.029 c:\Users\Rome\Documents\Git Repo\1\SuperCut\ffmpeg_utils.py:13(get_audio_duration)
        1    0.000    0.000    0.059    0.059 c:\Users\Rome\Documents\Git Repo\1\SuperCut\ffmpeg_utils.py:31(merge_mp3s_with_ffmpeg)
      6/5    0.000    0.000    0.051    0.010 {method 'close' of '_io.BufferedReader' objects}
      130    0.001    0.000    0.027    0.000 c:\Users\Rome\Documents\Git Repo\1\SuperCut\terminal_widget.py:286(process_queue)
       84    0.001    0.000    0.022    0.000 c:\Users\Rome\Documents\Git Repo\1\SuperCut\terminal_widget.py:295(append_output)
        6    0.000    0.000    0.018    0.003 C:\Python313\Lib\subprocess.py:817(__init__)
        6    0.000    0.000    0.017    0.003 C:\Python313\Lib\subprocess.py:1452(_execute_child)
        6    0.016    0.003    0.016    0.003 {built-in method _winapi.CreateProcess}
       91    0.001    0.000    0.014    0.000 c:\Users\Rome\Documents\Git Repo\1\SuperCut\terminal_widget.py:30(write)
       11    0.000    0.000    0.011    0.001 C:\Python313\Lib\subprocess.py:1275(wait)
       11    0.000    0.000    0.011    0.001 C:\Python313\Lib\subprocess.py:1596(_wait)
        6    0.011    0.002    0.011    0.002 {built-in method _winapi.WaitForSingleObject}
       52    0.001    0.000    0.010    0.000 c:\Users\Rome\Documents\Git Repo\1\SuperCut\ffmpeg_utils.py:202(print_progress)
      106    0.008    0.000    0.010    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       52    0.006    0.000    0.006    0.000 {built-in method insertText}
       32    0.006    0.000    0.006    0.000 {built-in method insertPlainText}
       84    0.005    0.000    0.005    0.000 {built-in method ensureCursorVisible}
       18    0.000    0.000    0.005    0.000 {built-in method builtins.print}
      214    0.000    0.000    0.004    0.000 C:\Python313\Lib\queue.py:228(get_nowait)
      214    0.002    0.000    0.003    0.000 C:\Python313\Lib\queue.py:180(get)
      136    0.002    0.000    0.002    0.000 {built-in method movePosition}
      238    0.000    0.000    0.002    0.000 C:\Python313\Lib\re\__init__.py:174(search)
